,Year,From country,Votes,Country,Own,English,Other,has_border
505,1999,HR,0.0,EE,1.0,1.0,0.0,
506,1999,HR,1.0,ES,1.0,0.0,0.0,
508,1999,HR,0.0,FR,1.0,0.0,0.0,
509,1999,HR,5.0,GB,1.0,1.0,0.0,
512,1999,HR,0.0,HR,1.0,0.0,0.0,
514,1999,HR,0.0,IE,1.0,1.0,0.0,
515,1999,HR,8.0,IL,0.0,0.0,1.0,
516,1999,HR,0.0,IS,0.0,1.0,0.0,
518,1999,HR,2.0,LT,0.0,0.0,1.0,
524,1999,HR,6.0,MT,1.0,1.0,0.0,
525,1999,HR,0.0,NL,0.0,1.0,0.0,
526,1999,HR,7.0,NO,0.0,1.0,0.0,
527,1999,HR,0.0,PL,1.0,0.0,0.0,
528,1999,HR,0.0,PT,1.0,0.0,0.0,
532,1999,HR,0.0,SE,0.0,1.0,0.0,
533,1999,HR,12.0,SI,0.0,1.0,0.0,1.0
536,1999,HR,0.0,TR,1.0,0.0,0.0,
542,1999,IE,0.0,AT,0.0,1.0,0.0,
545,1999,IE,0.0,BA,0.0,0.0,1.0,
546,1999,IE,10.0,BE,0.0,1.0,0.0,
550,1999,IE,0.0,CY,1.0,0.0,0.0,
552,1999,IE,0.0,DE,0.0,0.0,1.0,
553,1999,IE,7.0,DK,0.0,1.0,0.0,
554,1999,IE,8.0,EE,1.0,1.0,0.0,
555,1999,IE,0.0,ES,1.0,0.0,0.0,
557,1999,IE,2.0,FR,1.0,0.0,0.0,
558,1999,IE,0.0,GB,1.0,1.0,0.0,1.0
561,1999,IE,6.0,HR,1.0,0.0,0.0,
563,1999,IE,0.0,IE,1.0,1.0,0.0,
564,1999,IE,0.0,IL,0.0,0.0,1.0,
565,1999,IE,4.0,IS,0.0,1.0,0.0,
567,1999,IE,0.0,LT,0.0,0.0,1.0,
573,1999,IE,0.0,MT,1.0,1.0,0.0,
574,1999,IE,1.0,NL,0.0,1.0,0.0,
575,1999,IE,3.0,NO,0.0,1.0,0.0,
576,1999,IE,0.0,PL,1.0,0.0,0.0,
577,1999,IE,0.0,PT,1.0,0.0,0.0,
581,1999,IE,5.0,SE,0.0,1.0,0.0,
582,1999,IE,12.0,SI,0.0,1.0,0.0,
585,1999,IE,0.0,TR,1.0,0.0,0.0,
591,1999,IL,0.0,AT,0.0,1.0,0.0,
594,1999,IL,0.0,BA,0.0,0.0,1.0,
595,1999,IL,5.0,BE,0.0,1.0,0.0,
599,1999,IL,0.0,CY,1.0,0.0,0.0,
601,1999,IL,12.0,DE,0.0,0.0,1.0,
602,1999,IL,2.0,DK,0.0,1.0,0.0,
603,1999,IL,1.0,EE,1.0,1.0,0.0,
604,1999,IL,0.0,ES,1.0,0.0,0.0,
606,1999,IL,0.0,FR,1.0,0.0,0.0,
607,1999,IL,4.0,GB,1.0,1.0,0.0,
610,1999,IL,7.0,HR,1.0,0.0,0.0,
612,1999,IL,0.0,IE,1.0,1.0,0.0,
613,1999,IL,0.0,IL,0.0,0.0,1.0,
614,1999,IL,10.0,IS,0.0,1.0,0.0,
