index,year,from_code2,votes,to_country,lang_own,lang_eng,lang_other,has_border,migration_band,migration_year,to_code2,to_code3,population,count,prop_emigrants,gender,comps_without_win
170,1999,FR,8.0,Germany,0.0,0.0,1.0,1.0,2000,2000,DE,DEU,82211508.0,106502,0.0012954634039798,group,16
171,1999,FR,0.0,Denmark,0.0,1.0,0.0,,2000,2000,DK,DNK,5339616.0,4238,0.0007936900331409,group,35
172,1999,FR,4.0,Estonia,1.0,1.0,0.0,,2000,2000,EE,EST,1396985.0,88,6.299280235650347e-05,group,43
173,1999,FR,0.0,Spain,1.0,0.0,0.0,1.0,2000,2000,ES,ESP,40567864.0,174641,0.0043049099158881,female,29
174,1999,FR,0.0,United Kingdom,1.0,1.0,0.0,,2000,2000,GB,GBR,58892514.0,91911,0.0015606567585143,group,1
175,1999,FR,7.0,Croatia,1.0,0.0,0.0,,2000,2000,HR,HRV,4468302.0,401,8.974326265324053e-05,female,43
176,1999,FR,0.0,Ireland,1.0,1.0,0.0,,2000,2000,IE,IRL,3805174.0,5996,0.0015757492298643,group,2
177,1999,FR,10.0,Israel,0.0,0.0,1.0,,2000,2000,IL,ISR,6289000.0,27534,0.0043781205279058,male,0
178,1999,FR,0.0,Iceland,0.0,1.0,0.0,,2000,2000,IS,ISL,281205.0,257,0.0009139240056186,female,43
179,1999,FR,0.0,Lithuania,0.0,0.0,1.0,,2000,2000,LT,LTU,3499536.0,188,5.372140763804116e-05,female,43
180,1999,FR,0.0,Malta,1.0,1.0,0.0,,2000,2000,MT,MLT,390087.0,161,0.0004127284426294,group,43
181,1999,FR,0.0,Netherlands,0.0,1.0,0.0,,2000,2000,NL,NLD,15925513.0,17789,0.0011170126827311,female,23
182,1999,FR,0.0,Norway,0.0,1.0,0.0,,2000,2000,NO,NOR,4490967.0,2934,0.0006533114137779,male,3
183,1999,FR,0.0,Poland,1.0,0.0,0.0,,2000,2000,PL,POL,38258629.0,35964,0.0009400232297921,male,43
184,1999,FR,12.0,Portugal,1.0,0.0,0.0,,2000,2000,PT,PRT,10289898.0,94718,0.0092049503308973,male,43
185,1999,FR,3.0,Sweden,0.0,1.0,0.0,,2000,2000,SE,SWE,8872109.0,5602,0.0006314169494536,female,7
186,1999,FR,1.0,Slovenia,0.0,1.0,0.0,,2000,2000,SI,SVN,1988925.0,1698,0.0008537275161205,female,43
187,1999,FR,5.0,Turkey,1.0,0.0,0.0,,2000,2000,TR,TUR,64113547.0,14882,0.0002321194302352,group,43
188,1999,GB,7.0,Austria,0.0,1.0,0.0,,2000,2000,AT,AUT,8011566.0,7622,0.0009513745502439,female,32
189,1999,GB,0.0,Belgium,0.0,1.0,0.0,,2000,2000,BE,BEL,10251250.0,24643,0.0024039019631752,female,12
190,1999,GB,2.0,Cyprus,1.0,0.0,0.0,,2000,2000,CY,CYP,948237.0,16552,0.0174555517238833,female,43
191,1999,GB,1.0,Germany,0.0,0.0,1.0,,2000,2000,DE,DEU,82211508.0,111510,0.0013563794499427,group,16
192,1999,GB,5.0,Denmark,0.0,1.0,0.0,,2000,2000,DK,DNK,5339616.0,14074,0.0026357700628659,group,35
193,1999,GB,3.0,Estonia,1.0,1.0,0.0,,2000,2000,EE,EST,1396985.0,64,4.581294716836616e-05,group,43
194,1999,GB,0.0,Spain,1.0,0.0,0.0,,2000,2000,ES,ESP,40567864.0,118972,0.0029326661122705,female,29
195,1999,GB,0.0,France,1.0,0.0,0.0,,2000,2000,FR,FRA,60921384.0,108951,0.0017883868166882,female,21
196,1999,GB,0.0,Croatia,1.0,0.0,0.0,,2000,2000,HR,HRV,4468302.0,171,3.826957085711753e-05,female,43
